"budget","popularity","revenue","runtime","vote_average","vote_count","release_year","release_month","budget_adjust","revenue_adjust","weight","History","Action","Documentary","Drama","Crime","Fantasy","Science Fiction","Romance","Horror","Comedy","Thriller","Western","Adventure","Music","War","Family","Animation","Mystery","based on novel","not based on novel","United States","United Kingdom","France","Japan","Australia","Germany","Canada","Spain","India","Mexico","Ireland","Italy","South Korea","China","South Africa","Hong Kong","New Zealand","Norway","Thailand","Fiji","Bulgaria","Russia","Brazil","Iran"
"270000000","57.925623","391081192","154.0","5.4","1400","2006","6","362906250.0","525651143.8305556","5.850712693806215","0","1","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"200000000","107.928811","586090727","106.0","6.1","2965","2008","10","251710380.25480375","737625598.7849218","6.175466103190731","0","1","0","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"200000000","145.847379","1065659812","151.0","7.0","5246","2006","6","268819444.4444445","1432350393.1430557","6.875352536824876","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"255000000","49.046956","89289910","149.0","5.9","2311","2013","7","296609889.37872654","103859883.63818216","6.059661006833576","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"225000000","99.398009","662845518","143.0","6.5","6359","2013","6","261714608.275347","771006022.6241754","6.475934781211309","0","1","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"225000000","53.978602","419651413","150.0","6.3","1630","2008","5","283174177.7866542","528153083.70347846","6.3234367161448315","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"220000000","144.448633","1519557910","143.0","7.4","11776","2012","4","259647029.10354805","1793403167.6468027","7.299323982299439","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"380000000","135.413856","1045713802","136.0","6.4","4948","2011","5","457762326.67523205","1259706271.1576917","6.3906790534282","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"225000000","52.035179","624026776","106.0","6.2","4160","2012","5","265548097.94681048","736484993.043024","6.23564674720386","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"250000000","120.965743","956019788","144.0","7.1","4760","2014","12","286152085.0229792","1094268222.6377063","6.944428248979331","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"215000000","89.866276","752215857","136.0","6.5","6586","2012","6","253745960.2602856","887775511.4301332","6.4766315675206245","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"200000000","37.668301","310669540","140.0","6.2","1398","2010","5","248532487.0675423","386057367.16164654","6.272772054812102","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"250000000","94.370564","958400000","161.0","7.6","4524","2013","12","290794009.19483","1114787913.6493003","7.329558928584579","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"180000000","42.990906","372234864","113.0","5.8","1303","2007","12","235237433.80501783","486464301.0006656","6.071643132327608","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"207000000","61.22601","550000000","187.0","6.6","2337","2005","12","287203225.8064516","763100358.4229391","6.514060565124392","0","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"200000000","100.025899","1845034188","194.0","7.5","7562","1997","11","337657320.8722742","3114946504.1891594","7.3369772560528235","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"250000000","198.372395","1153304495","147.0","7.1","7241","2016","4","282252184.3112909","1302090851.5591214","6.9898636244098515","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"209000000","64.928382","303025485","131.0","5.5","2114","2012","4","246664677.64837065","357634849.6495989","5.817930964774851","0","1","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"150000000","418.708552","1513528810","124.0","6.5","8662","2015","6","171487699.19457257","1730343821.9439957","6.481523950117154","0","1","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"200000000","93.004993","1108561013","143.0","6.9","7604","2012","10","236042753.73049822","1308338970.9339533","6.822690391664223","0","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"200000000","35.149586","783766341","127.0","6.7","4321","2004","6","286892535.7331922","1124283564.959079","6.622150939795819","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"200000000","77.68208","1215439994","130.0","6.8","8806","2013","4","232635207.355864","1413770675.1640005","6.744392792183071","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"200000000","78.530105","1025491110","108.0","6.4","4645","2010","3","248532487.0675423","1274339280.1697729","6.390200286381031","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"210000000","3.857526","459359555","104.0","6.3","3525","2006","5","282260416.6666667","617423901.8767362","6.314143437824168","0","1","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","1","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"200000000","89.186492","743559607","104.0","7.0","3528","2013","6","232635207.355864","864890716.7794486","6.830571202292283","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"150000000","21.939663","836297228","150.0","6.0","3138","2009","6","189456830.2903462","1056281479.9832199","6.101045421075067","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"210000000","116.840296","1091405097","165.0","5.8","3095","2014","6","240367751.41930255","1249231376.4450276","5.959712920064772","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"200000000","46.985445","491868548","130.0","5.7","3530","2013","3","232635207.355864","572129708.2790387","5.871402903294669","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"200000000","89.270217","705717432","142.0","6.5","4179","2014","4","228921668.01838338","807770058.4154502","6.466278573414632","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"170000000","73.79505","400062763","125.0","6.3","2841","2010","12","211252614.00741097","497142967.3575137","6.316505858207984","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"200000000","49.98659","559852396","106.0","5.8","2033","2011","6","240927540.35538527","674419303.6517457","6.0113147214364755","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"200000000","51.872839","219851172","114.0","5.1","2487","2011","6","240927540.35538527","264841010.57104373","5.520313148720047","0","1","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"200000000","59.995418","1066969703","103.0","7.6","4597","2010","6","248532487.0675423","1325883169.5615346","7.332933086542761","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"200000000","71.862892","371353001","115.0","5.9","2463","2009","5","252609107.05379495","469035749.9217851","6.053131958397013","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","1","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"190000000","102.322217","1506249360","137.0","7.3","4176","2015","4","217217752.31312525","1722021581.0646493","7.081508561576739","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"200000000","81.834855","531865000","116.0","6.7","5560","2013","6","232635207.355864","618652622.8016329","6.63630635300289","0","1","0","1","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"250000000","118.078691","747862775","131.0","7.5","6032","2014","5","286152085.0229792","856009969.5092847","7.302743822311514","0","1","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"190000000","78.291018","467365246","132.0","7.4","4418","2013","5","221003446.9880708","543628054.5706719","7.168722053836688","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"195000000","43.349855","197687603","114.0","5.5","2598","2013","2","226819327.1719674","229945482.5779436","5.7779832526899515","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"105000000","61.196071","351040419","143.0","7.3","3769","2013","5","122133483.8618286","408321803.32177186","7.063804795811604","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"150000000","62.169881","335154643","116.0","6.2","2317","2010","5","186399365.30065674","416484084.8851213","6.254044102313553","0","1","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"180000000","56.523205","407602906","131.0","6.7","4794","2013","7","209371686.6202776","474113932.7808137","6.628239333558481","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"195000000","28.529607","1123746996","154.0","6.1","3299","2011","6","234904351.84650064","1353707998.6401649","6.169930043786887","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"185000000","75.674458","786636033","122.0","5.7","2495","2008","5","232832101.73569345","990022274.9428016","5.918722723222645","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"175000000","51.692953","331926147","93.0","6.6","1736","2015","11","200068982.393668","379475008.34366316","6.496786451291537","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"185000000","125.114374","538983207","93.0","6.7","4641","2012","6","218339547.20071086","636115401.9738756","6.626376842979083","0","1","0","0","0","1","0","0","0","1","0","0","1","0","0","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"185000000","65.352913","343471816","122.0","6.6","2568","2016","7","208866616.39035532","387782681.2614632","6.519254706792698","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"180000000","66.390712","521311860","98.0","7.8","6296","2008","6","226539342.22932336","656098032.559695","7.559813442299562","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"140000000","22.57178","258022233","91.0","6.1","783","2007","8","182962448.51501387","337202710.8642244","6.256304118488805","0","1","0","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"200000000","45.274225","769653595","158.0","5.6","4903","2009","10","252609107.05379495","972107536.8684657","5.753547423966492","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"200000000","39.744242","325233863","96.0","6.6","1095","2009","11","252609107.05379495","410785178.5804314","6.468621323695911","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"176000003","85.36908","183987723","124.0","5.2","2768","2015","2","201212237.15138578","210344208.64878893","5.559769142059099","0","1","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"180000000","42.741719","356743061","109.0","5.5","2430","2016","6","203221572.7041295","402766032.8205845","5.79066001339894","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"180000000","67.391328","748806957","143.0","6.7","2629","2005","12","249741935.48387098","1038936104.1387097","6.588228557651736","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"178000000","139.272042","543934787","144.0","6.4","4721","2016","5","200963555.22963917","614107127.0145872","6.390324935458025","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"185000000","187.322927","1004558444","152.0","8.2","12002","2008","7","232832101.73569345","1264288939.6370697","8.02536145815945","0","1","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"175000000","92.201962","735099082","96.0","7.7","6870","2009","5","221032968.6720706","928463613.5004219","7.492219533402474","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"175000000","36.167578","381509870","94.0","6.0","1423","2009","3","221032968.6720706","481864337.9645469","6.165779413284159","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"140000000","120.725053","585174222","126.0","7.4","8776","2008","4","176197266.17836264","736472129.6746447","7.26921151439299","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"170000000","32.319043","185770160","126.0","7.0","2141","2011","11","204788409.3020775","223785738.6011319","6.761352426910662","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"170000000","40.748915","222104681","106.0","5.1","1020","1999","6","276500000.00000006","361246731.1558824","5.791465034899602","0","1","0","0","0","0","1","0","0","1","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"145000000","60.034162","401128639","112.0","5.2","1387","2008","7","182490025.6847327","504841211.26890945","5.747895300780649","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"175000000","90.23792","745000000","123.0","5.9","7458","2016","8","197576529.0179037","841111509.247647","5.965334192993767","0","1","0","0","1","1","1","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"175000000","27.082182","173000000","96.0","5.3","1151","2007","6","228703060.64376733","226089311.37926713","5.849518290794883","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"178000000","79.456485","370541256","113.0","7.6","4858","2014","5","203740284.53636122","424124611.965734","7.344337612788235","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"175000000","44.640292","264218220","135.0","5.9","992","1995","7","311153215.22309715","469784849.56299216","6.1534245277656705","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"175000000","32.852443","302469017","118.0","5.6","1962","2009","8","221032968.6720706","382032141.47904557","5.893965015348785","0","1","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"175000000","128.655964","857611174","94.0","8.0","6560","2015","6","200068982.393668","980465113.5521082","7.735832030888366","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"175000000","94.199316","966550600","106.0","6.7","2892","2016","4","197576529.0179037","1091244072.3895555","6.595318738389217","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0","1","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"200000000","77.300194","623933331","124.0","6.6","6849","2010","4","248532487.0675423","775338512.5888304","6.561914289690447","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"170000000","77.178973","396600000","127.0","5.8","3118","2012","5","200636340.6709235","468072780.647578","5.958872710284011","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"180000000","110.620647","758539785","97.0","7.0","4496","2014","5","206029501.21654505","868230964.2025294","6.859094172062903","0","1","0","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"170000000","243.791743","710644566","130.0","7.3","4410","2014","6","194583417.81562588","813409697.0846007","7.090535220579395","0","1","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"175000000","41.796339","150962475","119.0","5.9","1326","2013","12","203555806.436381","175595933.37289718","6.1206168563417425","0","1","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"170000000","72.225265","714766572","136.0","7.6","5764","2014","3","194583417.81562588","818127779.5301096","7.377342759954644","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"165000000","44.041186","752600867","93.0","6.0","1959","2010","5","205039301.83072242","935228826.2234931","6.138123712842109","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"190000000","130.311355","209154322","130.0","6.2","2846","2015","5","217217752.31312525","239115956.3758718","6.247071094966267","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","1","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"165000000","203.73459","652105443","102.0","7.8","6135","2014","10","188860376.1151663","746405328.6771342","7.554579982319893","0","1","0","0","0","0","0","0","0","1","0","0","1","0","0","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"165000000","62.341073","471222889","108.0","7.1","4570","2012","11","194735271.82766104","556143741.7020046","6.939352934299741","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"165000000","47.323228","305875730","100.0","6.4","1474","2004","11","236686341.97988358","438767318.9947062","6.378809196980093","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"165000000","48.775723","389681935","120.0","4.9","2491","2016","6","186286441.64545202","439954309.361602","5.386833508507796","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"165000000","67.263269","494878759","98.0","7.5","4227","2010","3","205039301.83072242","614967243.8558444","7.237783522963273","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"200000000","69.405188","435000000","109.0","5.9","2143","2003","7","294532608.6956522","640608423.9130436","6.067557106082336","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"170000000","481.098624","773328629","121.0","7.9","9742","2014","7","194583417.81562588","885158398.385248","7.723680564692771","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
